difficulty	time_ms	duration_ms	lane	confidence	review_priority	beat_alignment	quantization_shift_ms	source	evidence	reason
expert	30368	0	3	0.378256	0.50058	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	86357.3	0	3	0.362163	0.499386	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	81098.7	0	2	0.362619	0.499153	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	82026.7	0	1	0.364608	0.498141	0.965432	10.6667	mid	DSP	low confidence, single-source evidence
expert	43050.7	0	3	0.38139	0.491515	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	142944	0	2	0.357532	0.48706	0.868735	0	mid	DSP	low confidence, single-source evidence
expert	62250.7	0	1	0.341188	0.486527	0.868735	0	high	DSP	low confidence, single-source evidence
expert	91285.3	0	1	0.358941	0.486308	0.868735	0	high	DSP	low confidence, single-source evidence
expert	88810.7	0	1	0.341657	0.486289	0.868735	0	mid	DSP	low confidence, single-source evidence
expert	138923	0	3	0.361634	0.48508	0.868735	0	mid	DSP	low confidence, single-source evidence
expert	60394.7	0	0	0.344162	0.485018	0.868735	0	high	DSP	low confidence, single-source evidence
expert	137995	0	1	0.360142	0.484444	0.868735	0	high	DSP	low confidence, single-source evidence
expert	52021.3	0	1	0.406042	0.484106	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	61013.3	0	0	0.350467	0.481818	0.868735	0	high	DSP	low confidence, single-source evidence
expert	163979	0	1	0.368787	0.480995	0.868735	0	mid	DSP	low confidence, single-source evidence
expert	121909	0	1	0.366774	0.480595	0.868735	0	high	DSP	low confidence, single-source evidence
expert	80170.7	0	1	0.399574	0.480346	0.965432	10.6667	high	DSP	low confidence, single-source evidence
expert	85429.3	0	2	0.396179	0.478658	0.965432	10.6667	high	DSP	low confidence, single-source evidence
